event_date,attendance_count,num_games,num_draws,unique_players,games_per_player,draw_rate,source_type,source_note,new_players_count,returning_players_count,year,month,day_of_month,day_of_week,is_sunday,week_of_year,season,is_beginning_of_month,is_end_of_month,is_holiday_week,is_school_break,previous_event_attendance,attendance_two_events_ago,rolling_3_event_attendance,rolling_5_event_attendance,rolling_10_event_attendance,attendance_trend_last_3,attendance_trend_last_5,previous_event_num_games,previous_event_unique_players,previous_event_new_players_count,previous_event_returning_players_count,previous_event_draw_rate,previous_event_games_per_player,rolling_3_avg_num_games,rolling_3_avg_new_players,rolling_3_avg_returning_players,days_since_last_event,biweekly_event_indicator,weekly_event_indicator,back_to_back_event_indicator,first_event_after_long_break,previous_event_high_turnout,events_this_month_so_far,event_number_overall,event_number_in_year,high_turnout,_median_attendance_used
2022-09-25,20,28.0,0.0,20,1.4,0.0,game_logs,,20,0,2022,9,25,6,1,38,fall,0,1,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,15.0
2022-09-26,21,20.0,1.0,21,0.9523809523809523,0.05,game_logs,,1,20,2022,9,26,0,0,39,fall,0,1,0,0,20.0,,20.0,20.0,20.0,,,28.0,20.0,20.0,0.0,0.0,1.4,28.0,20.0,0.0,1.0,0,0,1,0,1,1,1,1,1,15.0
2022-10-09,21,50.0,2.0,21,2.380952380952381,0.04,game_logs,,9,12,2022,10,9,6,1,40,fall,0,0,1,0,21.0,20.0,20.5,20.5,20.5,,,20.0,21.0,1.0,20.0,0.05,0.9523809523809523,24.0,10.5,10.0,13.0,1,0,0,0,1,0,2,2,1,15.0
2022-10-23,13,24.0,0.0,13,1.8461538461538463,0.0,game_logs,,2,11,2022,10,23,6,1,42,fall,0,0,0,0,21.0,21.0,20.666666666666668,20.666666666666668,20.666666666666668,1.0,,50.0,21.0,9.0,12.0,0.04,2.380952380952381,32.666666666666664,10.0,10.666666666666666,14.0,1,0,0,0,1,1,3,3,0,15.0
2022-11-06,19,44.0,3.0,19,2.3157894736842106,0.06818181818181818,game_logs,,5,14,2022,11,6,6,1,44,fall,1,0,0,0,13.0,21.0,18.333333333333332,18.75,18.75,-8.0,,24.0,13.0,2.0,11.0,0.0,1.8461538461538463,31.333333333333332,4.0,14.333333333333334,14.0,1,0,0,0,0,0,4,4,1,15.0
2022-11-20,17,38.0,1.0,17,2.235294117647059,0.02631578947368421,game_logs,,3,14,2022,11,20,6,1,46,fall,0,0,0,0,19.0,13.0,17.666666666666668,18.8,18.8,-2.0,-1.0,44.0,19.0,5.0,14.0,0.06818181818181818,2.3157894736842106,39.333333333333336,5.333333333333333,12.333333333333334,14.0,1,0,0,0,0,1,5,5,1,15.0
2022-12-18,13,18.0,0.0,13,1.3846153846153846,0.0,game_logs,,2,11,2022,12,18,6,1,50,winter,0,0,0,1,17.0,19.0,16.333333333333332,18.2,18.5,4.0,-4.0,38.0,17.0,3.0,14.0,0.02631578947368421,2.235294117647059,35.333333333333336,3.3333333333333335,13.0,28.0,0,0,0,0,0,0,6,6,0,15.0
2023-01-22,20,50.0,1.0,20,2.5,0.02,game_logs,,7,13,2023,1,22,6,1,3,winter,0,0,0,0,13.0,17.0,16.333333333333332,16.6,17.714285714285715,-6.0,-8.0,18.0,13.0,2.0,11.0,0.0,1.3846153846153846,33.333333333333336,3.3333333333333335,13.0,35.0,0,0,0,1,0,0,7,0,1,15.0
2023-02-05,18,45.0,0.0,18,2.5,0.0,game_logs,,2,16,2023,2,5,6,1,5,winter,1,0,0,0,20.0,13.0,16.666666666666668,16.4,18.0,3.0,7.0,50.0,20.0,7.0,13.0,0.02,2.5,35.333333333333336,4.0,12.666666666666666,14.0,1,0,0,0,1,0,8,1,1,15.0
2023-02-19,12,28.0,1.0,12,2.3333333333333335,0.03571428571428571,game_logs,,0,12,2023,2,19,6,1,7,winter,0,0,1,0,18.0,20.0,17.0,17.4,18.0,5.0,-1.0,45.0,18.0,2.0,16.0,0.0,2.5,37.666666666666664,3.6666666666666665,13.333333333333334,14.0,1,0,0,0,0,1,9,2,0,15.0
2023-03-05,13,30.0,1.0,13,2.3076923076923075,0.03333333333333333,game_logs,,3,10,2023,3,5,6,1,9,spring,1,0,0,0,12.0,18.0,16.666666666666668,16.0,17.4,-8.0,-5.0,28.0,12.0,0.0,12.0,0.03571428571428571,2.3333333333333335,41.0,3.0,13.666666666666666,14.0,1,0,0,0,0,0,10,3,0,15.0
2023-03-26,16,31.0,2.0,16,1.9375,0.06451612903225806,game_logs,,4,12,2023,3,26,6,1,12,spring,0,1,0,0,13.0,12.0,14.333333333333334,15.2,16.7,-5.0,0.0,30.0,13.0,3.0,10.0,0.03333333333333333,2.3076923076923075,34.333333333333336,1.6666666666666667,12.666666666666666,21.0,0,0,0,0,0,1,11,4,1,15.0
2023-04-09,17,37.0,0.0,17,2.176470588235294,0.0,game_logs,,3,14,2023,4,9,6,1,14,spring,0,0,0,0,16.0,13.0,13.666666666666666,15.8,16.2,4.0,-4.0,31.0,16.0,4.0,12.0,0.06451612903225806,1.9375,29.666666666666668,2.3333333333333335,11.333333333333334,14.0,1,0,0,0,0,0,12,5,1,15.0
2023-04-23,23,52.0,2.0,23,2.260869565217391,0.038461538461538464,game_logs,,5,18,2023,4,23,6,1,16,spring,0,0,0,0,17.0,16.0,15.333333333333334,15.2,15.8,4.0,-1.0,37.0,17.0,3.0,14.0,0.0,2.176470588235294,32.666666666666664,3.3333333333333335,12.0,14.0,1,0,0,0,1,1,13,6,1,15.0
2023-05-07,36,87.0,5.0,36,2.4166666666666665,0.05747126436781609,game_logs,,12,24,2023,5,7,6,1,18,spring,1,0,0,0,23.0,17.0,18.666666666666668,16.2,16.8,7.0,11.0,52.0,23.0,5.0,18.0,0.038461538461538464,2.260869565217391,40.0,4.0,14.666666666666666,14.0,1,0,0,0,1,0,14,7,1,15.0
2023-05-21,31,66.0,3.0,31,2.129032258064516,0.045454545454545456,game_logs,,5,26,2023,5,21,6,1,20,spring,0,0,0,0,36.0,23.0,25.333333333333332,21.0,18.5,19.0,23.0,87.0,36.0,12.0,24.0,0.05747126436781609,2.4166666666666665,58.666666666666664,6.666666666666667,18.666666666666668,14.0,1,0,0,0,1,1,15,8,1,15.0
2023-06-04,19,44.0,0.0,19,2.3157894736842106,0.0,game_logs,,4,15,2023,6,4,6,1,22,summer,1,0,0,1,31.0,36.0,30.0,24.6,19.9,8.0,15.0,66.0,31.0,5.0,26.0,0.045454545454545456,2.129032258064516,68.33333333333333,7.333333333333333,22.666666666666668,14.0,1,0,0,0,1,0,16,9,1,15.0
2023-06-18,19,45.0,0.0,19,2.3684210526315788,0.0,game_logs,,4,15,2023,6,18,6,1,24,summer,0,0,1,1,19.0,31.0,28.666666666666668,25.2,20.5,-17.0,2.0,44.0,19.0,4.0,15.0,0.0,2.3157894736842106,65.66666666666667,7.0,21.666666666666668,14.0,1,0,0,0,1,1,17,10,1,15.0
2023-06-25,20,45.0,2.0,20,2.25,0.044444444444444446,game_logs,,0,20,2023,6,25,6,1,25,summer,0,1,0,1,19.0,19.0,23.0,25.6,20.4,-12.0,-4.0,45.0,19.0,4.0,15.0,0.0,2.3684210526315788,51.666666666666664,4.333333333333333,18.666666666666668,7.0,0,1,0,0,1,2,18,11,1,15.0
2023-07-02,22,101.0,3.0,22,4.590909090909091,0.0297029702970297,game_logs,,4,18,2023,7,2,6,1,26,summer,1,0,1,1,20.0,19.0,19.333333333333332,25.0,20.6,1.0,-16.0,45.0,20.0,0.0,20.0,0.044444444444444446,2.25,44.666666666666664,2.6666666666666665,16.666666666666668,7.0,0,1,0,0,1,0,19,12,1,15.0
2023-08-06,12,38.0,2.0,12,3.1666666666666665,0.05263157894736842,game_logs,,0,12,2023,8,6,6,1,31,summer,1,0,0,0,22.0,20.0,20.333333333333332,22.2,21.6,3.0,-9.0,101.0,22.0,4.0,18.0,0.0297029702970297,4.590909090909091,63.666666666666664,2.6666666666666665,17.666666666666668,35.0,0,0,0,1,1,0,20,13,0,15.0
2023-08-20,13,30.0,1.0,13,2.3076923076923075,0.03333333333333333,game_logs,,3,10,2023,8,20,6,1,33,summer,0,0,0,0,12.0,22.0,18.0,18.4,21.5,-8.0,-7.0,38.0,12.0,0.0,12.0,0.05263157894736842,3.1666666666666665,61.333333333333336,1.3333333333333333,16.666666666666668,14.0,1,0,0,0,0,1,21,14,0,15.0
2023-09-03,11,25.0,1.0,11,2.272727272727273,0.04,game_logs,,2,9,2023,9,3,6,1,35,fall,1,0,1,0,13.0,12.0,15.666666666666666,17.2,21.2,-9.0,-6.0,30.0,13.0,3.0,10.0,0.03333333333333333,2.3076923076923075,56.333333333333336,2.3333333333333335,13.333333333333334,14.0,1,0,0,0,0,0,22,15,0,15.0
2023-09-17,15,31.0,1.0,15,2.066666666666667,0.03225806451612903,game_logs,,0,15,2023,9,17,6,1,37,fall,0,0,0,0,11.0,13.0,12.0,15.6,20.6,-1.0,-9.0,25.0,11.0,2.0,9.0,0.04,2.272727272727273,31.0,1.6666666666666667,10.333333333333334,14.0,1,0,0,0,0,1,23,16,1,15.0
2023-10-01,18,36.0,0.0,18,2.0,0.0,game_logs,,4,14,2023,10,1,6,1,39,fall,1,0,0,0,15.0,11.0,13.0,14.6,19.8,2.0,-7.0,31.0,15.0,0.0,15.0,0.03225806451612903,2.066666666666667,28.666666666666668,1.6666666666666667,11.333333333333334,14.0,1,0,0,0,0,0,24,17,1,15.0
2023-10-15,19,45.0,0.0,19,2.3684210526315788,0.0,game_logs,,2,17,2023,10,15,6,1,41,fall,0,0,0,0,18.0,15.0,14.666666666666666,13.8,18.0,7.0,6.0,36.0,18.0,4.0,14.0,0.0,2.0,30.666666666666668,2.0,12.666666666666666,14.0,1,0,0,0,1,1,25,18,1,15.0
2023-10-29,17,44.0,1.0,17,2.588235294117647,0.022727272727272728,game_logs,,1,16,2023,10,29,6,1,43,fall,0,1,0,0,19.0,18.0,17.333333333333332,15.2,16.8,4.0,6.0,45.0,19.0,2.0,17.0,0.0,2.3684210526315788,37.333333333333336,2.0,15.333333333333334,14.0,1,0,0,0,1,2,26,19,1,15.0
2023-11-19,10,25.0,0.0,10,2.5,0.0,game_logs,,0,10,2023,11,19,6,1,46,fall,0,0,0,0,17.0,19.0,18.0,16.0,16.6,-1.0,6.0,44.0,17.0,1.0,16.0,0.022727272727272728,2.588235294117647,41.666666666666664,2.3333333333333335,15.666666666666666,21.0,0,0,0,0,0,0,27,20,0,15.0
2023-11-26,22,51.0,2.0,22,2.3181818181818183,0.0392156862745098,game_logs,,6,16,2023,11,26,6,1,47,fall,0,1,1,0,10.0,17.0,15.333333333333334,15.8,15.7,-9.0,-5.0,25.0,10.0,0.0,10.0,0.0,2.5,38.0,1.0,14.333333333333334,7.0,0,1,0,0,0,1,28,21,1,15.0
2023-12-10,18,41.0,0.0,18,2.2777777777777777,0.0,game_logs,,3,15,2023,12,10,6,1,49,winter,0,0,0,0,22.0,10.0,16.333333333333332,17.2,15.9,5.0,4.0,51.0,22.0,6.0,16.0,0.0392156862745098,2.3181818181818183,40.0,2.3333333333333335,14.0,14.0,1,0,0,0,1,0,29,22,1,15.0
